idx,tracking_ts_unix,tracking_ts_gmt2,closest_timestamp_idx,closest_robot_ts_unix,closest_robot_ts_gmt2,time_difference
149,1753805673.058958,2025-07-29 18:14:33,98,1753805673.133276,2025-07-29 18:14:33,0.074318
150,1753805673.10043,2025-07-29 18:14:33,98,1753805673.133276,2025-07-29 18:14:33,0.03284600000000004
151,1753805673.15572,2025-07-29 18:14:33,98,1753805673.133276,2025-07-29 18:14:33,0.022444
152,1753805673.208902,2025-07-29 18:14:33,98,1753805673.133276,2025-07-29 18:14:33,0.075626
153,1753805673.258354,2025-07-29 18:14:33,99,1753805673.312205,2025-07-29 18:14:33,0.05385099999999998
154,1753805673.309982,2025-07-29 18:14:33,99,1753805673.312205,2025-07-29 18:14:33,0.002222999999999975
155,1753805673.352066,2025-07-29 18:14:33,99,1753805673.312205,2025-07-29 18:14:33,0.039861
156,1753805673.40621,2025-07-29 18:14:33,100,1753805673.491584,2025-07-29 18:14:33,0.08537399999999995
157,1753805673.45373,2025-07-29 18:14:33,100,1753805673.491584,2025-07-29 18:14:33,0.037854000000000054
158,1753805673.508323,2025-07-29 18:14:33,100,1753805673.491584,2025-07-29 18:14:33,0.016739
159,1753805673.55498,2025-07-29 18:14:33,100,1753805673.491584,2025-07-29 18:14:33,0.063396
160,1753805673.601923,2025-07-29 18:14:33,101,1753805673.67182,2025-07-29 18:14:33,0.06989699999999999
161,1753805673.653826,2025-07-29 18:14:33,101,1753805673.67182,2025-07-29 18:14:33,0.017993999999999954
162,1753805673.703471,2025-07-29 18:14:33,101,1753805673.67182,2025-07-29 18:14:33,0.031651
163,1753805673.750383,2025-07-29 18:14:33,101,1753805673.67182,2025-07-29 18:14:33,0.078563
164,1753805673.802697,2025-07-29 18:14:33,102,1753805673.852636,2025-07-29 18:14:33,0.049938999999999956
165,1753805673.857319,2025-07-29 18:14:33,102,1753805673.852636,2025-07-29 18:14:33,0.004683
166,1753805673.905359,2025-07-29 18:14:33,102,1753805673.852636,2025-07-29 18:14:33,0.052723
167,1753805673.952324,2025-07-29 18:14:33,103,1753805674.029953,2025-07-29 18:14:34,0.07762899999999995
168,1753805673.999986,2025-07-29 18:14:33,103,1753805674.029953,2025-07-29 18:14:34,0.029966999999999966
169,1753805674.050821,2025-07-29 18:14:34,103,1753805674.029953,2025-07-29 18:14:34,0.020868
170,1753805674.099523,2025-07-29 18:14:34,103,1753805674.029953,2025-07-29 18:14:34,0.06957
171,1753805674.150768,2025-07-29 18:14:34,104,1753805674.211742,2025-07-29 18:14:34,0.06097399999999997
172,1753805674.212376,2025-07-29 18:14:34,104,1753805674.211742,2025-07-29 18:14:34,0.000634
173,1753805674.258234,2025-07-29 18:14:34,104,1753805674.211742,2025-07-29 18:14:34,0.046492
174,1753805674.304585,2025-07-29 18:14:34,105,1753805674.387036,2025-07-29 18:14:34,0.08245100000000005
175,1753805674.35513,2025-07-29 18:14:34,105,1753805674.387036,2025-07-29 18:14:34,0.03190599999999999
176,1753805674.400642,2025-07-29 18:14:34,105,1753805674.387036,2025-07-29 18:14:34,0.013606
177,1753805674.457404,2025-07-29 18:14:34,105,1753805674.387036,2025-07-29 18:14:34,0.070368
178,1753805674.507511,2025-07-29 18:14:34,106,1753805674.561554,2025-07-29 18:14:34,0.05404299999999995
